experiment,well,strain,DS
RA00116_101220,CAM037A6,cat-2,1
RA00116_101220,CAM302A1,cat-2,1
RA00116_101220,CAM302A2,cat-2,1
RA00116_101220,CAM302A3,cat-2,1
RA00116_101220,CAM302A4,cat-2,1
RA00116_101220,CAM302A5,cat-2,1
RA00116_101220,CAM307A1,cat-2,1
RA00116_101220,CAM307A2,cat-2,1
RA00116_101220,CAM307A3,cat-2,1
RA00116_101220,CAM307A4,cat-2,1
RA00116_101220,CAM307A6,cat-2,1
RA00116_101220,CAM516A1,cat-2,1
RA00116_101220,CAM516A2,cat-2,1
RA00116_101220,CAM516A3,cat-2,1
RA00116_101220,CAM516A4,cat-2,1
RA00116_101220,CAM516A5,cat-2,1
RA00116_101220,CAM516A6,cat-2,1
RA00120_241220,CAM034A1,N2,0
RA00120_241220,CAM034A2,N2,0
RA00120_241220,CAM034A3,N2,0
RA00120_241220,CAM034A4,N2,0
RA00120_241220,CAM034A5,N2,0
RA00120_241220,CAM034A6,N2,0
RA00120_241220,CAM035A2,N2,0
RA00120_241220,CAM035A3,N2,0
RA00120_241220,CAM035A4,N2,0
RA00120_241220,CAM035A5,N2,0
RA00120_241220,CAM037A1,N2,0
RA00120_241220,CAM037A3,N2,0
RA00120_241220,CAM037A4,N2,0
RA00120_241220,CAM037A5,N2,0
RA00120_241220,CAM302A1,N2,0
RA00120_241220,CAM302A2,N2,0
RA00120_241220,CAM302A3,N2,0
RA00120_241220,CAM302A4,N2,0
RA00120_241220,CAM302A5,N2,0
RA00120_241220,CAM302A6,N2,0
RA00120_241220,CAM307A1,N2,0
RA00120_241220,CAM307A2,N2,0
RA00120_241220,CAM307A3,N2,0
RA00120_241220,CAM307A4,N2,0
RA00120_241220,CAM307A5,N2,0
RA00120_241220,CAM307A6,N2,0
RA00120_241220,CAM516A1,N2,0
RA00120_241220,CAM516A2,N2,0
RA00120_241220,CAM516A3,N2,0
RA00120_241220,CAM516A4,N2,0
RA00120_241220,CAM516A5,N2,0
RA00120_241220,CAM516A6,N2,0
RA00125_140121,CAM034A1,dop-2,0
RA00125_140121,CAM034A2,dop-2,0
RA00125_140121,CAM034A5,dop-2,0
RA00125_140121,CAM034A6,dop-2,0
RA00125_140121,CAM035A1,dop-2,0
RA00125_140121,CAM035A2,dop-2,0
RA00125_140121,CAM035A3,dop-2,0
RA00125_140121,CAM035A4,dop-2,0
RA00125_140121,CAM035A5,dop-2,0
RA00125_140121,CAM035A6,dop-2,0
RA00125_140121,CAM037A1,dop-2,0
RA00125_140121,CAM037A3,dop-2,0
RA00125_140121,CAM037A4,dop-2,0
RA00125_140121,CAM037A5,dop-2,0
RA00125_140121,CAM037A6,dop-2,0
RA00125_140121,CAM302A1,dop-2,0
RA00125_140121,CAM302A4,dop-2,0
RA00125_140121,CAM302A5,dop-2,0
RA00125_140121,CAM302A6,dop-2,0
RA00125_140121,CAM307A1,dop-2,0
RA00125_140121,CAM307A2,dop-2,0
RA00125_140121,CAM307A3,dop-2,0
RA00125_140121,CAM307A4,dop-2,0
RA00125_140121,CAM307A5,dop-2,0
RA00125_140121,CAM307A6,dop-2,0
RA00126_271220,CAM034A1,cat-2,0
RA00126_271220,CAM034A2,cat-2,0
RA00126_271220,CAM034A6,cat-2,0
RA00126_271220,CAM035A1,cat-2,0
RA00126_271220,CAM035A2,cat-2,0
RA00126_271220,CAM035A3,cat-2,0
RA00126_271220,CAM035A5,cat-2,0
RA00126_271220,CAM035A6,cat-2,0
RA00126_271220,CAM037A2,cat-2,0
RA00126_271220,CAM037A3,cat-2,0
RA00126_271220,CAM037A4,cat-2,0
RA00126_271220,CAM302A3,cat-2,0
RA00126_271220,CAM302A4,cat-2,0
RA00126_271220,CAM302A5,cat-2,0
RA00126_271220,CAM302A6,cat-2,0
RA00126_271220,CAM307A1,cat-2,0
RA00126_271220,CAM307A2,cat-2,0
RA00126_271220,CAM307A3,cat-2,0
RA00126_271220,CAM307A4,cat-2,0
RA00126_271220,CAM307A5,cat-2,0
RA00126_271220,CAM307A6,cat-2,0
RA00126_271220,CAM516A1,cat-2,0
RA00126_271220,CAM516A2,cat-2,0
RA00126_271220,CAM516A3,cat-2,0
RA00126_271220,CAM516A4,cat-2,0
RA00126_271220,CAM516A5,cat-2,0
